1.000	0.667	0.308	0.348	0.356	0.395	0.388	0.373	0.436	0.462	0.500
0.250	0.500	0.667	0.500	0.333	0.421	0.427	0.390	0.414	0.458	0.501
0.062	0.125	0.250	0.400	0.471	0.432	0.421	0.424	0.432	0.467	0.504
0.016	0.031	0.062	0.125	0.216	0.372	0.492	0.478	0.471	0.502	0.516
0.004	0.008	0.016	0.031	0.062	0.124	0.234	0.424	0.564	0.583	0.571
0.001	0.002	0.004	0.008	0.016	0.031	0.062	0.125	0.250	0.500	1.000
